Tipo Titulo,Data Vencimento,Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha,Prazo_anos
Tesouro IPCA+,2024-08-15,2005-12-14,"8,82","8,90","324,94","320,53","320,36",18.6694045174538
Tesouro IPCA+,2015-05-15,2005-12-15,"8,65","8,71","718,81","715,09","714,78",9.412731006160165
Tesouro IPCA+,2024-08-15,2005-12-15,"8,82","8,90","325,08","320,67","320,53",18.666666666666668
Tesouro IPCA+,2015-05-15,2005-12-16,"8,64","8,70","719,91","716,19","715,71",9.409993155373032
Tesouro IPCA+,2024-08-15,2005-12-16,"8,79","8,87","326,98","322,54","322,32",18.663928815879533
Tesouro IPCA+,2015-05-15,2005-12-19,"8,64","8,70","720,22","716,51","716,19",9.401779603011637
Tesouro IPCA+,2024-08-15,2005-12-19,"8,79","8,87","327,12","322,68","322,54",18.65571526351814
Tesouro IPCA+,2015-05-15,2005-12-20,"8,64","8,70","720,54","716,83","716,51",9.399041752224504
Tesouro IPCA+,2024-08-15,2005-12-20,"8,79","8,87","327,27","322,83","322,68",18.652977412731005
Tesouro IPCA+,2015-05-15,2005-12-21,"8,64","8,70","720,86","717,14","716,83",9.396303901437372
Tesouro IPCA+,2024-08-15,2005-12-21,"8,79","8,87","327,41","322,97","322,83",18.650239561943874
Tesouro IPCA+,2015-05-15,2005-12-22,"8,64","8,70","721,18","717,46","717,14",9.39356605065024
Tesouro IPCA+,2024-08-15,2005-12-22,"8,79","8,87","327,56","323,12","322,97",18.647501711156742
Tesouro IPCA+,2015-05-15,2005-12-23,"8,64","8,70","721,58","717,87","717,41",9.390828199863108
Tesouro IPCA+,2024-08-15,2005-12-23,"8,79","8,87","327,75","323,30","323,09",18.64476386036961
Tesouro IPCA+,2015-05-15,2005-12-26,"8,64","8,70","721,90","718,18","717,87",9.382614647501711
Tesouro IPCA+,2024-08-15,2005-12-26,"8,79","8,87","327,89","323,44","323,30",18.636550308008214
Tesouro IPCA+,2015-05-15,2005-12-27,"8,68","8,74","719,73","716,02","715,71",9.379876796714578
Tesouro IPCA+,2024-08-15,2005-12-27,"8,85","8,93","324,69","320,30","320,15",18.633812457221083
Tesouro IPCA+,2015-05-15,2005-12-28,"8,67","8,73","720,66","716,95","716,64",9.377138945927447
Tesouro IPCA+,2024-08-15,2005-12-28,"8,85","8,93","324,83","320,44","320,30",18.63107460643395
Tesouro IPCA+,2015-05-15,2005-12-29,"8,65","8,71","722,67","718,96","718,18",9.374401095140314
Tesouro IPCA+,2024-08-15,2005-12-29,"8,84","8,92","325,74","321,33","320,98",18.628336755646817
Tesouro IPCA+,2015-05-15,2005-12-30,"8,65","8,71","722,67","718,96","718,50",9.371663244353183
Tesouro IPCA+,2024-08-15,2005-12-30,"8,84","8,92","325,74","321,33","321,12",18.625598904859686
Tesouro IPCA+,2015-05-15,2006-01-02,"8,66","8,72","722,36","718,65","718,34",9.363449691991786
Tesouro IPCA+,2024-08-15,2006-01-02,"8,85","8,93","325,33","320,93","320,79",18.61738535249829
Tesouro IPCA+,2015-05-15,2006-01-03,"8,66","8,72","722,68","718,97","718,65",9.360711841204655
Tesouro IPCA+,2024-08-15,2006-01-03,"8,85","8,93","325,47","321,07","320,93",18.614647501711158
Tesouro IPCA+,2015-05-15,2006-01-04,"8,68","8,74","721,75","718,05","717,73",9.357973990417522
Tesouro IPCA+,2024-08-15,2006-01-04,"8,84","8,92","326,17","321,76","321,62",18.611909650924023
Tesouro IPCA+,2015-05-15,2006-01-05,"8,67","8,73","722,68","718,97","718,66",9.35523613963039
Tesouro IPCA+,2024-08-15,2006-01-05,"8,84","8,92","326,32","321,90","321,76",18.60917180013689
Tesouro IPCA+,2015-05-15,2006-01-06,"8,68","8,74","722,52","718,82","718,36",9.352498288843258
Tesouro IPCA+,2024-08-15,2006-01-06,"8,85","8,93","325,97","321,56","321,35",18.60643394934976
Tesouro IPCA+,2015-05-15,2006-01-09,"8,68","8,74","722,84","719,13","718,82",9.344284736481862
Tesouro IPCA+,2024-08-15,2006-01-09,"8,85","8,93","326,11","321,71","321,56",18.598220396988363
Tesouro IPCA+,2015-05-15,2006-01-10,"8,70","8,76","721,91","718,22","717,90",9.34154688569473
Tesouro IPCA+,2024-08-15,2006-01-10,"8,86","8,94","325,70","321,30","321,16",18.595482546201232
Tesouro IPCA+,2015-05-15,2006-01-11,"8,72","8,78","720,99","717,30","716,99",9.338809034907598
Tesouro IPCA+,2024-08-15,2006-01-11,"8,88","8,96","324,74","320,35","320,21",18.5927446954141
Tesouro IPCA+,2015-05-15,2006-01-12,"8,66","8,72","725,29","721,58","721,25",9.336071184120465
Tesouro IPCA+,2024-08-15,2006-01-12,"8,85","8,93","326,67","322,25","322,11",18.590006844626966
Tesouro IPCA+,2015-05-15,2006-01-13,"8,67","8,73","725,19","721,48","720,88",9.333333333333334
Tesouro IPCA+,2024-08-15,2006-01-13,"8,83","8,91","328,02","323,59","323,32",18.587268993839835
